Reference_DB_ID,Organism_Meta_Data,Organism_List,ca01_ra,ca04_ra,ca05_ra,ca07_ra,ca10_ra,ca14_ra,ca15_ra,ca18_ra,ca21_ra,ca22_ra,ca23_ra,cb01_ra,cb04_ra,cb05_ra,cb07_ra,cb10_ra,cb14_ra,cb15_ra,cb18_ra,cb21_ra,cb22_ra,pa03_ra,pa04_ra,pa05_ra,pa06_ra,pa08_ra,pa10_ra,pa11_ra,pa18_ra,pa19_ra,pa22_ra,pa23_ra,pa28_ra,pb03_ra,pb04_ra,pb05_ra,pb06_ra,pb08_ra,pb10_ra,pb11_ra,pb18_ra,pb19_ra,pb22_ra,pb23_ra,pb28_ra,,,,,,,,,,
131,CT06_chromosome_complete_genome,Parabacteroides_sp._CP022754.1,0.01601,0.00611,0.00515,0.02366,0.01362,0.00188,0.00188,0.01635,0.00295,0.00222,0.00334,0.01074,0.01487,0.00129,0.03791,0.01775,0.01767,0.00069,0.04157,0.00992,0.00461,0.03000,0.01957,0.00429,0.00579,0.03794,0.02114,0.00058,0.00303,0.00622,0.00524,0.00695,0.00345,0.01521,0.08914,0.02686,0.00896,0.05308,0.02821,0.00070,0.00281,0.01186,0.00139,0.01403,0.00425,,,,,,,,,,
14,SL3/3_draft_genome,Faecalibacterium_prausnitzii_FP929046.1,0.01581,0.02731,0.06337,0.04761,0.07825,0.02360,0.02360,0.02791,0.03109,0.04901,0.05807,0.04493,0.03114,0.01929,0.03269,0.08638,0.09425,0.01466,0.02982,0.04772,0.03141,0.01515,0.00059,0.03280,0.00074,0.00471,0.00887,0.00563,0.03015,0.02479,0.01382,0.02234,0.02136,0.00951,0.00100,0.02784,0.00020,0.00751,0.00168,0.00181,0.00418,0.01129,0.00465,0.00289,0.00688,,,,,,,,,,
123,SMS-3-5_complete_genome,Escherichia_coli_CP000970.1,0.01360,0.00001,0.00010,0.00000,0.00001,0.00003,0.00003,0.00004,0.00042,0.00004,0.00002,0.00475,0.00015,0.00474,0.00000,0.00001,0.00007,0.00001,0.00002,0.00001,0.00110,0.00274,0.19657,0.00944,0.00002,0.00005,0.00002,0.00417,0.00005,0.00001,0.00184,0.00364,0.00058,0.00046,0.01709,0.00167,0.00137,0.00267,0.00079,0.04830,0.00245,0.04413,0.00467,0.00715,0.02238,,,,,,,,,,
7,L2-14_draft_genome,Ruminococcus_torques_FP929055.1,0.01355,0.00926,0.02813,0.02737,0.03607,0.00833,0.00833,0.00642,0.01579,0.01724,0.01242,0.00591,0.01367,0.01093,0.03030,0.02759,0.01216,0.03423,0.00696,0.02230,0.02336,0.00985,0.00444,0.02699,0.00242,0.00835,0.00404,0.02024,0.00353,0.00654,0.02740,0.01486,0.00428,0.00534,0.00747,0.01573,0.00199,0.00492,0.00276,0.00887,0.00254,0.00592,0.00366,0.01001,0.00682,,,,,,,,,,
133,strain_11-Jan_chromosome_completegenome,Bifidobacterium_adolescentis_CP028341.1,0.01340,0.00562,0.00400,0.00122,0.00001,0.00230,0.00230,0.00870,0.01051,0.01747,0.01771,0.01969,0.00113,0.00064,0.00091,0.00030,0.00080,0.01518,0.00074,0.00982,0.00563,0.00024,0.00058,0.00272,0.00013,0.01150,0.00752,0.00043,0.00017,0.00264,0.00146,0.00143,0.00267,0.00021,0.00000,0.00003,0.00000,0.00066,0.00074,0.00029,0.00000,0.00038,0.00000,0.00000,0.00003,,,,,,,,,,
15,strain_A2165_chromosome_completegenome,Faecalibacterium_prausnitzii_CP022479.1,0.01294,0.04235,0.04608,0.06663,0.05040,0.02461,0.02461,0.04416,0.04972,0.02677,0.03080,0.02595,0.05417,0.01472,0.04093,0.07531,0.03467,0.01805,0.01716,0.03950,0.02562,0.01327,0.00188,0.00778,0.00047,0.00694,0.01524,0.00824,0.00815,0.02078,0.01389,0.02980,0.01306,0.00882,0.00572,0.01072,0.00051,0.00698,0.00358,0.00388,0.00388,0.04560,0.02824,0.00214,0.01313,,,,,,,,,,
112,type_strain_18P13T_draft_genome,Ruminococcus_champanellensis_FP929052.1,0.01216,0.00028,0.00075,0.00099,0.00012,0.00013,0.00013,0.00007,0.00158,0.00071,0.00061,0.01046,0.00021,0.00016,0.00103,0.00007,0.00022,0.00050,0.00097,0.00098,0.00163,0.00077,0.00009,0.00021,0.00008,0.00057,0.00041,0.00007,0.00029,0.00034,0.00044,0.00078,0.00009,0.00036,0.00021,0.00098,0.00000,0.00044,0.00026,0.00003,0.00014,0.00028,0.00008,0.00012,0.00079,,,,,,,,,,
121,WAL_8301_draft_genome,Alistipes_shahii_FP929032.1,0.01089,0.01271,0.07942,0.02358,0.01623,0.00335,0.00335,0.00596,0.01172,0.00640,0.00903,0.00993,0.01174,0.00295,0.04502,0.00230,0.03196,0.00131,0.05369,0.01305,0.00571,0.01653,0.01970,0.00809,0.00397,0.01735,0.14393,0.01080,0.01903,0.01809,0.04966,0.01948,0.01524,0.02041,0.05519,0.03381,0.00410,0.00862,0.03301,0.00146,0.09468,0.01546,0.00029,0.00921,0.02551,,,,,,,,,,
139,SR1/5_draft_genome,Ruminococcus_sp._FP929053.1,0.01073,0.01176,0.01796,0.01969,0.02182,0.01519,0.01519,0.02862,0.01400,0.00988,0.00768,0.00482,0.01349,0.00598,0.01931,0.02186,0.02216,0.04997,0.01083,0.01460,0.01065,0.01918,0.01811,0.01287,0.08614,0.02431,0.00365,0.02396,0.00691,0.04247,0.02494,0.00614,0.01111,0.04229,0.00580,0.00626,0.00086,0.00745,0.00135,0.00747,0.00083,0.01243,0.00175,0.00219,0.00429,,,,,,,,,,
115,L2/6_draft_genome,Faecalibacterium_prausnitzii_FP929045.1,0.01051,0.08162,0.05185,0.06820,0.01655,0.00467,0.00467,0.02485,0.03649,0.01571,0.01732,0.01374,0.09705,0.02256,0.02992,0.02049,0.02951,0.00576,0.02107,0.02963,0.01699,0.04712,0.00274,0.01445,0.00049,0.04250,0.00851,0.00571,0.06382,0.14005,0.02873,0.03832,0.03057,0.01801,0.00766,0.02174,0.00031,0.00500,0.00287,0.00166,0.04616,0.01713,0.00660,0.02255,0.03705,,,,,,,,,,
143,DSM_20712_complete_genome,Odoribacter_splanchnicus_CP002544.1,0.00978,0.00276,0.01595,0.01571,0.01162,0.00128,0.00128,0.00460,0.00570,0.00804,0.00792,0.00664,0.01053,0.00328,0.01870,0.00429,0.00498,0.00012,0.02002,0.00391,0.01401,0.01405,0.00790,0.00322,0.00188,0.00513,0.01396,0.00089,0.01166,0.00486,0.00787,0.01100,0.01815,0.01223,0.01486,0.01050,0.00178,0.00118,0.01412,0.00214,0.02111,0.01215,0.00132,0.00888,0.05536,,,,,,,,,,
179,strain_BPB5_complete_genome,Anaerostipes_hadrus_CP012098.1,0.00950,0.00628,0.01266,0.02358,0.04948,0.00197,0.00197,0.04046,0.00912,0.00815,0.00611,0.00164,0.00847,0.00522,0.02144,0.06910,0.00772,0.00706,0.00921,0.00853,0.01103,0.00277,0.01891,0.01220,0.00087,0.01162,0.00194,0.00413,0.00162,0.00896,0.01661,0.00390,0.01333,0.00297,0.00262,0.00221,0.00041,0.00275,0.00109,0.00099,0.00082,0.00319,0.00258,0.00065,0.00252,,,,,,,,,,
21,ATCC_35061_complete_genome,Methanobrevibacter_smithii_CP000678.1,0.00817,0.00638,0.00702,0.00661,0.00011,0.00000,0.00000,0.00001,0.01299,0.00001,0.00000,0.00210,0.00501,0.00067,0.01154,0.00000,0.00324,0.00000,0.00000,0.00993,0.03048,0.01228,0.00587,0.00000,0.00000,0.00000,0.02275,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00118,0.02353,0.00000,0.00000,0.00000,0.00814,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,,,,,,,,,,
154,A2-162_draft_genome,Ruminococcus_obeum_FP929054.1,0.00737,0.01012,0.01313,0.02064,0.00887,0.00651,0.00651,0.01130,0.02251,0.00959,0.00776,0.00404,0.01406,0.00620,0.02271,0.01128,0.01161,0.02656,0.01070,0.02224,0.01283,0.00854,0.00352,0.00855,0.00350,0.01775,0.00682,0.02586,0.00509,0.00553,0.02313,0.01521,0.00287,0.00644,0.00777,0.01644,0.00080,0.00568,0.00464,0.00711,0.00222,0.00478,0.00293,0.00379,0.00702,,,,,,,,,,
164,I46_chromosome_complete_genome,Erysipelotrichaceae_bacterium_CP015404.2,0.00708,0.00024,0.00038,0.00098,0.00101,0.00038,0.00038,0.00076,0.00072,0.00028,0.00021,0.00163,0.00036,0.00019,0.00092,0.00084,0.00066,0.00139,0.00064,0.00038,0.00124,0.00177,0.00683,0.04218,0.02580,0.02200,0.00088,0.00816,0.01146,0.00063,0.00215,0.00099,0.00228,0.00210,0.00444,0.00048,0.01940,0.00255,0.00189,0.00864,0.00466,0.00529,0.00056,0.00016,0.00179,,,,,,,,,,
118,GD/7_draft_genome,Coprococcus_catus_FP929038.1,0.00707,0.00896,0.01607,0.01600,0.00868,0.00265,0.00265,0.00860,0.01784,0.00691,0.00522,0.00470,0.00905,0.00552,0.01659,0.01087,0.01142,0.01890,0.00983,0.01038,0.01672,0.00425,0.00347,0.03484,0.00114,0.00559,0.00235,0.00522,0.00157,0.00892,0.00995,0.00815,0.01581,0.00312,0.00234,0.00892,0.00034,0.00231,0.00207,0.00221,0.00086,0.04095,0.01983,0.00147,0.03111,,,,,,,,,,
24,strain_ATCC_8483_complete_genome,Bacteroides_ovatus_CP012938.1,0.00706,0.00496,0.02432,0.05493,0.02040,0.00186,0.00186,0.02384,0.00664,0.00964,0.00792,0.00551,0.00865,0.00691,0.05105,0.02218,0.01568,0.00059,0.07381,0.01538,0.02233,0.05013,0.00458,0.01097,0.00922,0.00645,0.00605,0.00038,0.06885,0.01669,0.02006,0.01927,0.01786,0.09972,0.02630,0.03776,0.00946,0.09065,0.03482,0.00010,0.11459,0.02687,0.00331,0.31999,0.05085,,,,,,,,,,
53,strain_ATCC_BAA-613_chromosome_completegenome, Clostridium _bolteae_CP022464.2,0.00661,0.00137,0.00278,0.00337,0.00168,0.00082,0.00082,0.00122,0.00189,0.00318,0.00293,0.00199,0.00217,0.00094,0.00239,0.00188,0.00178,0.00188,0.00252,0.00150,0.00298,0.00379,0.00189,0.00234,0.04189,0.00814,0.00169,0.01642,0.04025,0.00425,0.00308,0.00170,0.00388,0.00393,0.00901,0.00268,0.00075,0.00127,0.00363,0.00095,0.00162,0.01842,0.00070,0.00046,0.00213,,,,,,,,,,
51,strain_AF211_complete_genome,Intestinimonas_butyriciproducens_CP011307.1,0.00647,0.00155,0.00419,0.00372,0.00073,0.00041,0.00041,0.00050,0.00293,0.00547,0.00711,0.00568,0.00179,0.00067,0.00314,0.00058,0.00211,0.00144,0.00178,0.00217,0.00749,0.00220,0.00065,0.00285,0.00019,0.00425,0.00253,0.00130,0.00036,0.00171,0.00601,0.00315,0.00192,0.00257,0.01235,0.00254,0.00010,0.00247,0.00176,0.00031,0.00959,0.00670,0.00295,0.00074,0.00247,,,,,,,,,,
168,strain_7330_complete_genome,Bacteroides_thetaiotaomicron_CP012937.1,0.00626,0.00467,0.01318,0.03581,0.02553,0.00153,0.00153,0.00871,0.00420,0.00199,0.00189,0.00871,0.00508,0.00512,0.03615,0.02724,0.01290,0.00038,0.01456,0.00534,0.00376,0.01073,0.01180,0.00931,0.00296,0.00176,0.01197,0.27263,0.01176,0.00277,0.00352,0.00378,0.03285,0.01255,0.00711,0.01380,0.00376,0.00539,0.00543,0.12996,0.01251,0.00513,0.00151,0.01569,0.02108,,,,,,,,,,
163,strain_YL31_complete_genome,Flavonifractor_plautii_CP015406.2,0.00600,0.00081,0.00149,0.00175,0.00167,0.00148,0.00148,0.00146,0.00201,0.00610,0.00822,0.00398,0.00094,0.00029,0.00192,0.00213,0.00291,0.00137,0.00194,0.00190,0.00334,0.00599,0.01766,0.00686,0.01343,0.01809,0.00088,0.00746,0.00096,0.00401,0.00196,0.00097,0.01554,0.01810,0.02380,0.00263,0.01772,0.00465,0.00418,0.01285,0.01954,0.09690,0.00022,0.00111,0.02098,,,,,,,,,,
141,strain_Indica_chromosome_completegenome,Faecalibacterium_prausnitzii_CP023819.1,0.00549,0.02872,0.03016,0.04156,0.03174,0.01340,0.01340,0.03153,0.03398,0.01564,0.01862,0.01239,0.03578,0.00907,0.01799,0.04905,0.04134,0.00745,0.01177,0.02863,0.00885,0.00869,0.00087,0.00915,0.00022,0.00451,0.00545,0.00239,0.01549,0.02727,0.00875,0.01929,0.01731,0.00537,0.00160,0.00850,0.00028,0.00346,0.00096,0.00092,0.00321,0.02645,0.01948,0.00271,0.01001,,,,,,,,,,
19,isolate_HS1_L_1_B_010_complete_genome,Bacteroides_dorei_CP007619.1,0.00499,0.00286,0.00321,0.00728,0.01194,0.00112,0.00112,0.00873,0.00840,0.00347,0.00468,0.00372,0.00399,0.00161,0.00664,0.01159,0.00529,0.00058,0.02241,0.01354,0.00500,0.01339,0.00276,0.00677,0.06926,0.02628,0.00936,0.00152,0.01210,0.00706,0.00339,0.00584,0.00697,0.01315,0.00242,0.00929,0.09066,0.04202,0.00588,0.00300,0.01075,0.01611,0.00931,0.00621,0.00578,,,,,,,,,,
75,subsp_infantis_157F_DNA_complete_genome,Bifidobacterium_longum_AP010890.1,0.00447,0.00163,0.00966,0.00229,0.00045,0.00096,0.00096,0.01074,0.00909,0.00576,0.00630,0.00335,0.00203,0.00092,0.00200,0.00248,0.00089,0.00354,0.00029,0.01052,0.00355,0.00294,0.00549,0.00084,0.00128,0.00002,0.00571,0.00979,0.01942,0.00647,0.00524,0.00242,0.00971,0.00695,0.00005,0.00004,0.00201,0.00096,0.00002,0.00550,0.00040,0.00023,0.00028,0.00000,0.00142,,,,,,,,,,
97,strain_ST2747_complete_genome,Escherichia_coli_CP007394.1,0.00428,0.00001,0.00002,0.00000,0.00000,0.00001,0.00001,0.00001,0.00018,0.00000,0.00000,0.00030,0.00016,0.00012,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,0.00070,0.00011,0.00657,0.00104,0.00000,0.00003,0.00000,0.00085,0.00001,0.00000,0.00029,0.00090,0.00008,0.00008,0.00400,0.00021,0.00019,0.00055,0.00021,0.00172,0.00098,0.00059,0.00037,0.00128,0.00477,,,,,,,,,,
60,ATCC_27750_chromosome_complete_genome, Eubacterium _eligens_CP001104.1,0.00400,0.02077,0.01487,0.00355,0.01267,0.00026,0.00026,0.00093,0.00498,0.00193,0.00170,0.00115,0.00691,0.00730,0.00735,0.00763,0.00490,0.00109,0.00821,0.00231,0.00868,0.00575,0.00014,0.00507,0.00012,0.00038,0.00144,0.00072,0.00045,0.00052,0.00176,0.00261,0.00436,0.00011,0.00013,0.00054,0.00005,0.00219,0.00098,0.00012,0.00017,0.00036,0.00361,0.00106,0.00555,,,,,,,,,,
56,ATCC_8503_complete_genome,Parabacteroides_distasonis_CP000140.1,0.00378,0.00192,0.00118,0.00668,0.00407,0.00061,0.00061,0.00083,0.00131,0.00098,0.00102,0.00248,0.00451,0.00049,0.01102,0.00550,0.00765,0.00018,0.00198,0.00322,0.00139,0.00932,0.00410,0.00176,0.00289,0.01189,0.00567,0.00001,0.00085,0.00187,0.00192,0.00178,0.00140,0.00494,0.03049,0.00914,0.00377,0.01771,0.00928,0.00001,0.00084,0.00362,0.00056,0.00277,0.00228,,,,,,,,,,
23,strain_BF3_complete_genome,Bifidobacterium_bifidum_CP010412.1,0.00372,0.00016,0.00023,0.00002,0.00001,0.00014,0.00014,0.00078,0.02534,0.00052,0.00066,0.00184,0.00003,0.00006,0.00002,0.00013,0.00316,0.00097,0.00021,0.02712,0.00096,0.05174,0.00007,0.00042,0.00010,0.03417,0.02193,0.00057,0.00031,0.02092,0.02071,0.00006,0.02653,0.04206,0.00001,0.00001,0.00002,0.01001,0.00006,0.00025,0.00000,0.00686,0.00000,0.00000,0.00002,,,,,,,,,,
113,ART55/1_draft_genome,Coprococcus_sp._FP929039.1,0.00357,0.15833,0.00813,0.02308,0.03747,0.00067,0.00067,0.00126,0.00387,0.05612,0.03683,0.00247,0.04945,0.00675,0.02694,0.00291,0.00080,0.00223,0.00119,0.00559,0.00508,0.00093,0.00031,0.00877,0.00149,0.00294,0.00060,0.00248,0.00036,0.00228,0.00380,0.04278,0.00052,0.00054,0.00082,0.01271,0.00014,0.00274,0.00078,0.00031,0.00672,0.00203,0.01294,0.00604,0.00105,,,,,,,,,,
13,strain_WH2_complete_genome,Bacteroides_cellulosilyticus_CP012801.1,0.00338,0.02270,0.00471,0.05479,0.08816,0.00029,0.00029,0.00149,0.01649,0.00167,0.00233,0.00186,0.00484,0.00211,0.04445,0.00701,0.00528,0.00039,0.00471,0.01078,0.00232,0.00244,0.00466,0.00978,0.00108,0.01894,0.00905,0.00265,0.00527,0.02906,0.00241,0.00150,0.00137,0.00216,0.00705,0.21218,0.00115,0.00402,0.37799,0.00212,0.00788,0.07592,0.00057,0.00241,0.01422,,,,,,,,,,
2,DSM_20731_complete_genome,Acidaminococcus_fermentans_CP001859.1,0.00316,0.00003,0.00011,0.00006,0.00002,0.00008,0.00008,0.00002,0.00002,0.00005,0.00007,0.00686,0.00004,0.00003,0.00008,0.00003,0.00028,0.00001,0.00001,0.00002,0.00021,0.00002,0.00004,0.00003,0.00000,0.00001,0.00011,0.00001,0.00000,0.00002,0.00002,0.00009,0.00001,0.00013,0.00020,0.00010,0.00000,0.00001,0.00006,0.00000,0.00003,0.00001,0.00000,0.00003,0.00011,,,,,,,,,,
140,draft_genome,Anaerostipes_hadrus_FP929061.1,0.00300,0.00223,0.00413,0.00933,0.02217,0.00064,0.00064,0.01543,0.00379,0.00210,0.00140,0.00047,0.00246,0.00146,0.00837,0.03043,0.00247,0.00307,0.00333,0.00324,0.00231,0.00111,0.00470,0.00489,0.00029,0.00474,0.00087,0.00217,0.00078,0.00362,0.00649,0.00146,0.00583,0.00076,0.00113,0.00114,0.00025,0.00101,0.00049,0.00087,0.00047,0.00096,0.00055,0.00023,0.00093,,,,,,,,,,
144,SS3/4_draft_genome,Clostridiales_sp._FP929062.1,0.00298,0.00480,0.00964,0.01392,0.00670,0.00194,0.00194,0.00688,0.00494,0.00422,0.00458,0.00268,0.00665,0.00404,0.01160,0.00617,0.00676,0.00352,0.00913,0.00281,0.00563,0.00642,0.00111,0.00454,0.00044,0.00314,0.00204,0.01444,0.00139,0.00661,0.00643,0.00605,0.00404,0.00263,0.00279,0.00388,0.00020,0.00407,0.00109,0.00254,0.00196,0.00448,0.00150,0.00085,0.00260,,,,,,,,,,
38,isolate_HS2_L_2_B_045b_complete_genome,Bacteroides_dorei_CP009057.1,0.00296,0.00526,0.01066,0.01897,0.01412,0.00468,0.00468,0.02128,0.01221,0.00718,0.00538,0.00246,0.00945,0.01190,0.02143,0.02609,0.00623,0.00082,0.04341,0.02831,0.00501,0.01304,0.00145,0.02195,0.01399,0.00325,0.01049,0.00135,0.01016,0.00854,0.00292,0.00416,0.02082,0.01373,0.00531,0.14903,0.01688,0.00373,0.01594,0.00389,0.01343,0.02388,0.00453,0.00704,0.01760,,,,,,,,,,
165,XB1A_draft_genome,Bacteroides_xylanisolvens_FP929033.1,0.00293,0.00198,0.00376,0.00796,0.00552,0.00056,0.00056,0.01148,0.00246,0.00137,0.00116,0.00220,0.00213,0.00104,0.00595,0.00510,0.00690,0.00020,0.03120,0.00276,0.00310,0.00996,0.00111,0.00279,0.00347,0.00211,0.00251,0.00606,0.02057,0.00637,0.00163,0.00250,0.00557,0.01754,0.00178,0.00541,0.00446,0.02191,0.00632,0.00358,0.02009,0.00658,0.00119,0.04558,0.00885,,,,,,,,,,
183,subsp_longum_JDM301_complete_genome,Bifidobacterium_longum_CP002010.1,0.00291,0.00117,0.00532,0.00237,0.00056,0.00072,0.00072,0.00647,0.01128,0.00786,0.00890,0.00280,0.00116,0.00052,0.00108,0.00318,0.00132,0.00242,0.00068,0.01400,0.00506,0.00378,0.02139,0.00125,0.00799,0.00161,0.00333,0.00635,0.03306,0.00745,0.00266,0.00145,0.00468,0.01348,0.00036,0.00014,0.00359,0.00040,0.00017,0.00624,0.00016,0.00061,0.00050,0.00004,0.00072,,,,,,,,,,
160,DSM_17629_draft_genome,Eubacterium_rectale_FP929042.1,0.00286,0.03509,0.03069,0.01805,0.01906,0.04465,0.04465,0.08620,0.07589,0.03382,0.02269,0.00683,0.07505,0.09972,0.03620,0.06075,0.09016,0.13261,0.00581,0.07290,0.03687,0.00362,0.00205,0.08740,0.00116,0.03517,0.00786,0.01206,0.00255,0.02494,0.08079,0.00549,0.00773,0.00213,0.00220,0.00476,0.00032,0.03633,0.00205,0.00232,0.00134,0.00944,0.00774,0.00113,0.00269,,,,,,,,,,
32,strain_ECONIH1_complete_genome,Escherichia_coli_CP009859.1,0.00275,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00001,0.00012,0.00000,0.00001,0.00027,0.00004,0.00063,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00024,0.00009,0.01379,0.00169,0.00000,0.00001,0.00000,0.00070,0.00003,0.00000,0.03980,0.00153,0.00007,0.00007,0.00220,0.00030,0.00031,0.00078,0.00017,0.00529,0.00126,0.00111,0.08295,0.00270,0.00376,,,,,,,,,,
68,A2-183_complete_genome,Roseburia_hominis_CP003040.1,0.00253,0.00522,0.02500,0.00938,0.00297,0.00205,0.00205,0.00519,0.01035,0.01017,0.01005,0.00230,0.00628,0.00943,0.00934,0.00331,0.03368,0.01212,0.04866,0.00369,0.01912,0.00519,0.00071,0.00632,0.00152,0.00430,0.00143,0.03335,0.00137,0.00327,0.01776,0.00668,0.00483,0.00182,0.00299,0.00675,0.00026,0.00370,0.00147,0.05356,0.01582,0.00423,0.00338,0.00394,0.03221,,,,,,,,,,
